27741,0,378,42
27740,0,380,49
27739,0,698,79
27738,0,977,77
27737,0,1920,18
27736,0,1767,43
27735,0,716,30
27734,0,1369,93
27733,1,8,9
27732,1,1888,83
27731,1,1774,79
27730,1,1556,35
27729,1,1449,4
27728,1,1777,70
27727,1,620,12
27726,1,855,76
27725,1,948,13
27724,1,1196,83
27723,1,1353,6
27722,1,1760,62
27721,1,1247,44
27720,1,29,94
27719,1,116,94
27718,1,645,13
27717,1,1620,50
27716,1,95,83
27715,2,944,3
27714,2,131,86
27713,2,1594,64
27712,2,865,82
27711,2,1204,2
27710,2,40,89
27709,2,980,9
27708,2,474,54
27707,2,1897,65
27706,2,1587,38
27705,2,1491,39
27704,2,1573,90
27703,2,64,40
27702,2,304,36
27701,2,788,87
27700,2,584,44
27699,2,177,18
27698,2,20,92
27697,2,1822,98
27696,2,1588,100
27695,3,271,6
27694,3,1418,8
27693,3,1098,70
27692,3,425,54
27691,3,148,65
27690,3,448,33
27689,3,1969,40
27688,3,1984,95
27687,4,1067,84
27686,4,512,66
27685,4,553,69
27684,4,1524,26
27683,4,56,86
27682,4,56,34
27681,4,898,43
27680,4,1469,61
27679,4,841,87
27678,4,1012,79
27677,4,401,25
27676,4,395,94
27675,4,1849,59
27674,4,1806,81
27673,4,302,78
27672,4,266,40
27671,4,274,62
27670,4,1146,98
27669,4,8,55
27668,4,1293,26
27667,5,544,85
27666,5,276,64
27665,5,277,42
27664,5,1094,23
27663,5,341,16
27662,5,612,97
27661,5,442,77
27660,5,199,35
27659,6,1775,33
27658,6,912,91
27657,6,441,5
27656,6,555,95
27655,6,1842,74
27654,6,167,16
27653,6,1304,49
27652,6,560,29
27651,6,276,3
27650,6,1033,100
27649,6,548,51
27648,6,1482,2
27647,6,195,63
27646,6,1085,75
27645,6,20,8
27644,6,345,22
27643,6,403,67
27642,6,174,65
27641,7,960,18
27640,7,1804,88
27639,7,1037,23
27638,7,1318,37
27637,7,1272,1
27636,7,1580,31
27635,7,1160,58
27634,7,1802,98
27633,7,1667,36
27632,7,1442,26
27631,7,1080,19
27630,7,1246,3
27629,7,77,82
27628,7,1627,82
27627,7,629,35
27626,7,142,2
27625,7,338,29
27624,7,1229,63
27623,8,1730,67
27622,8,780,31
27621,8,613,42
27620,8,427,69
27619,8,372,29
27618,8,1299,69
27617,8,384,46
27616,8,1405,43
27615,9,1012,43
27614,9,551,39
27613,9,1387,53
27612,9,117,43
27611,9,634,44
27610,9,1171,31
27609,9,860,29
27608,9,1761,97
27607,10,99,53
27606,10,1088,43
27605,10,360,11
27604,10,1529,97
27603,10,1627,26
27602,10,1936,70
27601,10,1681,56
27600,10,813,50
27599,10,1414,5
27598,10,1552,67
27597,10,1665,94
27596,10,1677,18
27595,10,847,4
27594,10,588,99
27593,10,16,96
27592,10,157,89
27591,10,802,52
27590,10,1969,18
27589,10,1759,24
27588,10,1418,92
27587,11,1177,32
27586,11,1217,1
27585,11,515,3
27584,11,1176,26
27583,11,576,78
27582,11,578,49
27581,11,958,97
27580,11,1702,77
27579,12,1277,23
27578,12,1588,88
27577,12,1689,41
27576,12,1625,20
27575,12,1211,47
27574,12,1201,7
27573,12,686,12
27572,12,827,13
27571,13,681,6
27570,13,1364,95
27569,13,274,40
27568,13,1407,12
27567,13,1885,26
27566,13,1402,71
27565,13,743,78
27564,13,368,50
27563,13,746,32
27562,13,935,83
27561,13,1391,21
27560,13,1674,84
27559,13,1787,10
27558,13,1656,43
27557,13,494,78
27556,13,819,76
27555,13,285,78
27554,13,1447,66
27553,13,1248,9
27552,13,883,39
27551,14,1878,78
27550,14,1506,17
27549,14,1669,71
27548,14,1227,77
27547,14,1783,38
27546,14,1773,42
27545,14,721,30
27544,14,279,20
27543,14,1581,68
27542,14,1584,95
27541,14,767,66
27540,14,1027,3
27539,14,830,64
27538,14,556,37
27537,14,646,86
27536,14,1823,83
27535,14,1098,19
27534,14,1130,72
27533,14,463,87
27532,14,660,34
27531,15,818,58
27530,15,563,50
27529,15,578,26
27528,15,1413,10
27527,15,787,82
27526,15,1505,53
27525,15,704,25
27524,15,1339,98
27523,15,1183,100
27522,15,1775,25
27521,15,322,89
27520,15,1884,15
27519,16,1554,42
27518,16,34,46
27517,16,830,63
27516,16,1193,2
27515,16,260,73
27514,16,703,99
27513,16,1976,66
27512,16,254,50
27511,16,867,83
27510,16,1969,56
27509,16,1422,42
27508,16,1730,27
27507,17,1540,4
27506,17,1881,80
27505,17,1954,74
27504,17,773,85
27503,17,1585,84
27502,17,816,19
27501,17,270,72
27500,17,964,48
27499,17,893,99
27498,17,1394,59
27497,17,1133,46
27496,17,91,14
27495,17,1806,6
27494,17,745,50
27493,17,1800,53
27492,17,1875,2
27491,17,897,72
27490,17,600,41
27489,18,353,36
27488,18,1167,24
27487,18,1413,42
27486,18,666,90
27485,18,1442,71
27484,18,1159,56
27483,18,54,5
27482,18,1059,37
27481,19,1601,63
27480,19,1831,59
27479,19,1573,64
27478,19,1349,55
27477,19,750,31
27476,19,802,15
27475,19,997,62
27474,19,1177,30
27473,19,454,20
27472,19,1645,71
27471,19,1488,70
27470,19,259,84
27469,19,1591,67
27468,19,132,65
27467,19,378,28
27466,19,873,86
27465,19,1228,37
27464,19,1832,36
27463,20,1992,20
27462,20,254,41
27461,20,927,64
27460,20,1519,75
27459,20,940,82
27458,20,1779,53
27457,20,976,54
27456,20,100,3
27455,20,432,75
27454,20,328,25
27453,20,1911,60
27452,20,259,40
27451,20,1269,59
27450,20,348,54
27449,20,395,78
27448,20,153,38
27447,20,825,25
27446,20,1019,72
27445,21,1912,98
27444,21,143,77
27443,21,1647,27
27442,21,1276,67
27441,21,1146,12
27440,21,1393,24
27439,21,704,14
27438,21,1517,45
27437,22,1859,19
27436,22,1343,71
27435,22,254,41
27434,22,498,99
27433,22,1013,9
27432,22,1244,65
27431,22,1433,53
27430,22,800,54
27429,22,295,98
27428,22,607,45
27427,22,894,33
27426,22,1487,65
27425,22,678,41
27424,22,351,90
27423,22,1590,88
27422,22,1058,47
27421,22,694,7
27420,22,448,94
27419,23,1674,42
27418,23,1594,74
27417,23,1546,27
27416,23,1774,68
27415,23,1412,97
27414,23,655,22
27413,23,64,3
27412,23,1695,70
27411,24,1797,85
27410,24,1232,28
27409,24,1169,21
27408,24,69,51
27407,24,153,43
